sku_id,sku_code,sku_name,brand,category_id,subcategory_id,supplier_id,pack_size,units_per_case,cases_per_pallet,pallet_weight_kg,unit_price_zar,case_price_zar,shelf_life_days,requires_chilled,requires_frozen,is_own_label,status
1,SKU000001,Ritebrand Pasta 5kg,Ritebrand,1,2,79,5kg,4,64,672.0,117.69,470.76,,N,N,Y,ACTIVE
2,SKU000002,Premier Foods Flour 5kg,Premier Foods,1,3,30,5kg,4,95,988.0,32.34,129.36,,N,N,N,ACTIVE
3,SKU000003,Umhlanga Sugar Sugar 1kg,Umhlanga Sugar,1,4,62,1kg,10,79,1003.3,56.89,568.9,,N,N,N,ACTIVE
4,SKU000004,Ace Super Maize Canned Fruit 500g,Ace Super Maize,1,9,49,500g,12,75,555.0,38.59,463.08,,N,N,N,ACTIVE
5,SKU000005,Umhlanga Sugar Sugar 1kg,Umhlanga Sugar,1,4,63,1kg,10,60,726.0,22.45,224.5,,N,N,N,ACTIVE
6,SKU000006,Premium Rice Rice 500g,Premium Rice,1,1,40,500g,12,92,1168.4,39.99,479.88,,N,N,N,ACTIVE
7,SKU000007,Gold Tea Tea 10kg,Gold Tea,1,12,63,10kg,2,90,864.0,40.51,81.02,,N,N,N,ACTIVE
8,SKU000008,Knorr SA Pasta 5kg,Knorr SA,1,2,66,5kg,4,82,779.0,59.48,237.92,,N,N,N,ACTIVE
9,SKU000009,Robertsons Spices & Herbs 500g,Robertsons,1,11,65,500g,12,63,466.2,57.28,687.36,,N,N,N,ACTIVE
10,SKU000010,Classic Sugar Sugar 1kg,Classic Sugar,1,4,32,1kg,10,94,827.2,62.1,621.0,,N,N,N,ACTIVE
11,SKU000011,RCL Foods Breakfast Cereal 5kg,RCL Foods,1,14,4,5kg,4,95,1178.0,25.28,101.12,,N,N,N,ACTIVE
12,SKU000012,RCL Foods Rice 1kg,RCL Foods,1,1,4,1kg,10,70,679.0,57.67,576.7,,N,N,N,ACTIVE
13,SKU000013,Foodcorp Rice 5kg,Foodcorp,1,1,31,5kg,4,60,372.0,118.46,473.84,,N,N,N,ACTIVE
14,SKU000014,Classic Canned Canned Fish 5kg,Classic Canned,1,8,39,5kg,4,95,931.0,84.5,338.0,,N,N,N,ACTIVE
15,SKU000015,Lucky Star Rice 10kg,Lucky Star,1,1,63,10kg,2,63,182.7,93.54,187.08,,N,N,N,ACTIVE
16,SKU000016,Table Mountain Canned Canned Fruit 1kg,Table Mountain Canned,1,9,61,1kg,10,63,207.9,115.88,1158.8,,N,N,N,ACTIVE
17,SKU000017,Table Mountain Pasta Pasta 1kg,Table Mountain Pasta,1,2,66,1kg,10,85,1377.0,27.59,275.9,,N,N,N,ACTIVE
18,SKU000018,Supreme Rice Rice 500g,Supreme Rice,1,1,64,500g,12,86,946.0,84.02,1008.24,,N,N,N,ACTIVE
19,SKU000019,Knorr SA Sugar 2kg,Knorr SA,1,4,66,2kg,6,75,307.5,42.89,257.34,,N,N,N,ACTIVE
20,SKU000020,Freddy Hirsch Canned Fish 500g,Freddy Hirsch,1,8,40,500g,12,60,1080.0,63.12,757.44,,N,N,N,ACTIVE
21,SKU000021,All Gold Pasta 1kg,All Gold,1,2,62,1kg,10,92,1554.8,42.85,428.5,,N,N,N,ACTIVE
22,SKU000022,Highveld Sugar Sugar 2kg,Highveld Sugar,1,4,46,2kg,6,70,749.0,61.01,366.06,,N,N,N,ACTIVE
23,SKU000023,Koo Spices & Herbs 500g,Koo,1,11,61,500g,12,95,1197.0,46.43,557.16,,N,N,N,ACTIVE
24,SKU000024,Classic Flour Flour 500g,Classic Flour,1,3,38,500g,12,66,297.0,92.95,1115.4,,N,N,N,ACTIVE
25,SKU000025,Freddy Hirsch Tea 1kg,Freddy Hirsch,1,12,40,1kg,10,76,456.0,68.07,680.7,,N,N,N,ACTIVE
26,SKU000026,Supreme Rice Rice 5kg,Supreme Rice,1,1,4,5kg,4,77,562.1,19.63,78.52,,N,N,N,ACTIVE
27,SKU000027,Ritebrand Flour 5kg,Ritebrand,1,3,79,5kg,4,95,1045.0,89.1,356.4,,N,N,Y,ACTIVE
28,SKU000028,RCL Foods Pasta 1kg,RCL Foods,1,2,4,1kg,10,94,742.6,18.78,187.8,,N,N,N,ACTIVE
29,SKU000029,Premier Foods Canned Vegetables 500g,Premier Foods,1,7,30,500g,12,79,1335.1,53.29,639.48,,N,N,N,ACTIVE
30,SKU000030,Sasko Rice 1kg,Sasko,1,1,46,1kg,10,75,577.5,85.03,850.3,,N,N,N,ACTIVE
31,SKU000031,Highveld Breakfast Breakfast Cereal 10kg,Highveld Breakfast,1,14,48,10kg,2,69,400.2,112.21,224.42,,N,N,N,ACTIVE
32,SKU000032,Foodcorp Coffee 5kg,Foodcorp,1,13,31,5kg,4,61,1024.8,33.83,135.32,,N,N,N,ACTIVE
33,SKU000033,Royal Canned Canned Vegetables 1kg,Royal Canned,1,7,66,1kg,10,77,1016.4,31.72,317.2,,N,N,N,ACTIVE
34,SKU000034,Highveld Breakfast Breakfast Cereal 1kg,Highveld Breakfast,1,14,50,1kg,10,72,676.8,100.74,1007.4,,N,N,N,ACTIVE
35,SKU000035,Gold Breakfast Breakfast Cereal 1kg,Gold Breakfast,1,14,36,1kg,10,61,512.4,84.3,843.0,,N,N,N,ACTIVE
36,SKU000036,Tongaat Hulett Sugar Coffee 2kg,Tongaat Hulett Sugar,1,13,38,2kg,6,92,1628.4,56.97,341.82,,N,N,N,ACTIVE
37,SKU000037,Table Mountain Rice Rice 2kg,Table Mountain Rice,1,1,14,2kg,6,71,1256.7,75.96,455.76,,N,N,N,ACTIVE
38,SKU000038,Table Mountain Canned Canned Vegetables 2kg,Table Mountain Canned,1,7,46,2kg,6,87,887.4,78.65,471.9,,N,N,N,ACTIVE
39,SKU000039,Tongaat Hulett Sugar Sugar 500g,Tongaat Hulett Sugar,1,4,38,500g,12,87,1461.6,15.18,182.16,,N,N,N,ACTIVE
40,SKU000040,Ritebrand Tea 1kg,Ritebrand,1,12,79,1kg,10,83,1427.6,60.29,602.9,,N,N,Y,ACTIVE
41,SKU000041,Signature Beans Beans & Pulses 2kg,Signature Beans,1,6,64,2kg,6,67,455.6,90.57,543.42,,N,N,N,ACTIVE
42,SKU000042,Tastic Beans & Pulses 2kg,Tastic,1,6,47,2kg,6,95,826.5,28.37,170.22,,N,N,N,ACTIVE
43,SKU000043,Ritebrand Spices & Herbs 1kg,Ritebrand,1,11,79,1kg,10,96,1036.8,46.6,466.0,,N,N,Y,ACTIVE
44,SKU000044,Illovo Sugar Rice 2kg,Illovo Sugar,1,1,39,2kg,6,73,824.9,60.14,360.84,,N,N,N,ACTIVE
45,SKU000045,Ace Super Maize Canned Fish 5kg,Ace Super Maize,1,8,49,5kg,4,73,1073.1,68.67,274.68,,N,N,N,ACTIVE
46,SKU000046,Zulu Tea Tea 500g,Zulu Tea,1,12,31,500g,12,78,943.8,69.12,829.44,,N,N,N,ACTIVE
47,SKU000047,Ubuntu Coffee Coffee 2kg,Ubuntu Coffee,1,13,36,2kg,6,74,325.6,99.69,598.14,,N,N,N,ACTIVE
48,SKU000048,Oh My Goodness! Sauces & Condiments 500g,Oh My Goodness!,1,10,80,500g,12,89,1076.9,58.52,702.24,,N,N,Y,ACTIVE
49,SKU000049,Crown National Sugar 5kg,Crown National,1,4,67,5kg,4,91,400.4,56.96,227.84,,N,N,N,ACTIVE
